OBJECTID,PCR_HISTORY_ID,PCR_YEAR,PERP_YEAR,RATED_DATE,ODOT_DISTRICT,COUNTY_CD,NLFID,JURISDICTION,ROUTE_TYPE,ROUTE_NBR,ROUTE_SUFFIX,DIRECTION_CD,CTL_BEGIN,CTL_END,DIVIDED_HWY,FUNCTIONAL_CLASS,URBAN_AREA_CODE,AREA_TYPE,HPMS_SAMPLE_ID,LANES,MAINTENANCE_AUTHORITY,ACCESS_CONTROL,NHS,PRIORITY_SYSTEM,BASE_TYPE,SURFACE_TYPE,PAVE_TYPE,SURFACE_WIDTH,ROADWAY_WIDTH_NBR,PCR_NBR,TOT_PCR_DEDUCT_NBR,TOT_STRUCT_DEDUCT_NBR,TOT_CRACK_DEDUCT_NBR,TOT_RUT_DEDUCT_NBR,BASE_FAILURE,BASE_FAILURE_VALUE,BLEEDING,BLEEDING_VALUE,BLOCK_TRANS_CRK,BLOCK_TRANS_CRK_VALUE,BRICK_DETERIORATION,BRICK_DETER_VALUE,CORNER_BREAK,CORNER_BREAK_VALUE,CORRUGATION,CORRUGATION_VALUE,CROWN,CROWN_VALUE,CRACK_SEAL_DEFICIENCY,CRACK_SEAL_DEF_VALUE,DISCOLORATION,DISCOLORATION_VALUE,DRAINAGE,DRAINAGE_VALUE,DUST,DUST_VALUE,EDGE_CRACKING,EDGE_CRACKING_VALUE,FAULTING,FAULTING_VALUE,GRAVEL_LAYER,GRAVEL_LAYER_VALUE,JOINT_REF_CRK,JOINT_REF_CRK_VALUE,JOINT_SLT_DMG,JOINT_SLT_DMG_VALUE,JOINT_EROSION,JOINT_EROSION_VALUE,JOINT_SPALLING,JOINT_SPALLING_VALUE,LONGITUDINAL_JOINT_CRACKING,LONG_JOINT_CRK_VALUE,LONG_JOINT_SPAL,LONG_JOINT_SPAL_VALUE,LONGITUDINAL_CRACKING,LONG_CRACKING_VALUE,LOOSE_AGGREGATE,LOOSE_AGGREGATE_VALUE,MAP_CRACKING,MAP_CRACKING_VALUE,INTER_TRANS_CRK,INTER_TRANS_CRK_VALUE,PATCHING,PATCHING_VALUE,POPOUT,POPOUT_VALUE,POTHOLE,POTHOLE_VALUE,PRESSURE_DAMAGE,PRESSURE_DAMAGE_VALUE,PUMPING,PUMPING_VALUE,PUNCHOUT,PUNCHOUT_VALUE,RANDOM_CRACKING,RANDOM_CRACKING_VALUE,RAVELING,RAVELING_VALUE,RUTTING,RUTTING_VALUE,SURF_DIS_OR_DEBOND,SURF_DIS_DEBOND_VALUE,SETTLEMENT,SETTLEMENT_VALUE,SHATTERED_SLAB,SHATTERED_SLAB_VALUE,SPALLING,SPALLING_VALUE,SURFACE_DETERIORATION,SURFACE_DETER_VALUE,TRANSVERSE_CRK,TRANSVERSE_CRK_VALUE,TRANS_CRK_PL_CONC,TRANS_CRK_PL_CONC_VALUE,TRANS_CRK_RF_CONC,TRANS_CRK_RF_CONC_VALUE,THERMAL_CRACKING,THERMAL_CRACKING_VALUE,TRANS_CRK_UJ_BASE,TRANS_CK_UJ_BASE_VALUE,WASHBOARD,WASHBOARD_VALUE,WHEEL_TRACK_CRK,WHEEL_TRACK_CRK_VALUE,AADT_PASSENGER,AADT_TOTAL,AADT_BC_TRUCK,ESAL,AVG_IRI,LEFT_MUNI_NAME,CITY_NAME,LEFT_TWP_NAME,TOWNSHIP_NAME,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
3889610,162766d1312549d2bf3b4d7863d3d976,2019,2018,2019-09-19T00:00:00Z,5,MUS,SMUSSR00146**C,S,SR,00146,*,UP,15.21,15.34,N,5,99786,URBAN,NA,2,NA,3,NA,U,R,G,FLEX,30,30,97,3.4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4198,4330,132,114318,276,ZANESVILLE,ZANESVILLE,NA,NA,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,272.190301
3889612,d866a3a3937a4b689bbfc83d33f17fba,2019,2018,2019-07-23T00:00:00Z,4,STA,SSTASR00241**C,S,SR,00241,*,UP,10.4,11.09,N,3,13375,URBAN,NA,2,NA,3,N,U,L,G,FLEX,36,36,72,27.7,9.4,14.8,2.4,NA,NA,NA,NA,LF,2.8,NA,NA,NA,NA,NA,NA,NA,NA,E,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HF,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,1.5,LF,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HO,5,NA,NA,NA,NA,MO,5.25,22812,24014,1202,NA,198,MASSILLON,MASSILLON,NA,NA,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,1466.473819
3889617,bd97442de3224e29b6774da0b5415696,2019,2018,2019-08-28T00:00:00Z,5,GUE,SGUESR00209**C,S,SR,00209,*,UP,0,7.64,N,6,99999,RURAL,NA,2,NA,3,NA,G,I,G,FLEX,20,24,87,12.75,6.75,8.75,0,NA,NA,NA,NA,LO,2,NA,NA,NA,NA,NA,NA,NA,NA,O,2.5,NA,NA,NA,NA,NA,NA,HO,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124,1250,124,NA,85,NA,NA,ADAMS,ADAMS,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,16057.04687
3889619,0d46965d78444b9d9ab7a8b03c4ce6d2,2019,2018,2019-06-17T00:00:00Z,9,HIG,SHIGSR00138**C,S,SR,00138,*,UP,27.24,32.48,N,5,99999,RURAL,NA,2,NA,3,NA,G,I,G,FLEX,21,29,86,14.3,4.9,6.9,0,NA,NA,NA,NA,LO,2,NA,NA,NA,NA,NA,NA,NA,NA,E,5,NA,NA,NA,NA,NA,NA,MO,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,1475,56,NA,57,NA,NA,MADISON,MADISON,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,10904.774789
3889622,8b125c5f10414306ab118e9ca8e75f0f,2019,2018,2019-08-26T00:00:00Z,10,WAS,SWASSR00007**N,S,SR,00007,*,DOWN,31.71,32.99,Y,NA,NA,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,FLEX,NA,NA,91,8.95,2.45,2.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MF,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NEWPORT,NEWPORT,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,2662.424119
3889629,5a491541d13e4be2a13373c6256a1cc3,2019,2018,2019-08-19T00:00:00Z,6,MRW,SMRWSR00095**C,S,SR,00095,*,UP,14.48,14.77,N,4,99999,RURAL,NA,2,NA,3,NA,G,L,G,COMP,24,44,99,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5315,6001,685,NA,106,NA,NA,FRANKLIN,FRANKLIN,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,613.124875
3889631,3062dbe6a80643b9b45046450b17f217,2019,2018,2019-09-25T00:00:00Z,5,LIC,SLICSR00310**C,S,SR,00310,*,UP,1.55,1.71,N,3,19234,URBAN,NA,2,NA,3,NA,G,I,G,FLEX,24,32,99,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14325,15704,1378,447968,191,NA,NA,ETNA,ETNA,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,317.473025
3889633,01ab9e2314a5468089546d48c5b0accf,2019,2018,2019-07-18T00:00:00Z,11,JEF,SJEFSR00647**C,S,SR,00647,*,UP,1.37,1.87,N,5,99999,RURAL,NA,2,NA,3,NA,G,I,G,FLEX,18,22,74,25.8,13.8,17.5,1.8,NA,NA,NA,NA,LO,2,NA,NA,NA,NA,NA,NA,NA,NA,E,5,NA,NA,NA,NA,NA,NA,LO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HO,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,1.5,LO,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO,3.5,NA,NA,NA,NA,HO,7.5,1068,1126,57,NA,137,MOUNT PLEASANT,MOUNT PLEASANT,NA,NA,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,1058.13709
3889634,95aaccbfabf749c299df567e12bb9e0e,2019,2018,2019-07-17T00:00:00Z,4,SUM,SSUMSR00021**C,S,SR,00021,*,UP,20.48,20.77,N,4,17668,URBAN,NA,4,NA,3,NA,G,P,G,COMP,52,68,91,9.36,1.44,3.36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,0.8,NA,NA,NA,NA,LO,0.64,NA,NA,NA,NA,NA,NA,LO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15580,16138,558,NA,195,RICHFIELD,RICHFIELD,NA,NA,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,573.585259
3889638,2664ecd80e3248a29900e763cc633c96,2019,2018,2019-06-14T00:00:00Z,5,GUE,SGUESR00313**C,S,SR,00313,*,UP,14.67,15.02,N,5,99999,RURAL,NA,2,NA,3,NA,G,I,G,FLEX,20,36,71,29.2,15.4,18,4.2,NA,NA,NA,NA,LE,4,NA,NA,NA,NA,NA,NA,NA,NA,F,4,NA,NA,NA,NA,NA,NA,MO,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MF,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LE,3,MO,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,2.8,NA,NA,NA,NA,MO,5.25,1687,2704,1017,NA,79,NA,NA,RICHLAND,RICHLAND,TIMS@P31_AG,2020-01-04T06:02:54Z,TIMS@P31_AG,2020-01-04T06:02:54Z,731.942548
