OBJECTID,NLFID,COUNTY_CD,ROUTE_TYPE,ROUTE_NBR,CTL_BEGIN,CTL_END,TRANS_ID_DESCRIPTION,DIRECTION_OF_TRAVEL,ODOT_DISTRICT,DIVIDED_HWY,TRANS_ID_EXTENSION_CD,GAS_TAX_MILEAGE,JURISDICTION,PERP_YEAR_NBR,PRIMARY_IND,STREET_DIR_SUFFIX,STREET_DIRECTION_PREFIX,STREET_NAME_TXT,STREET_SPEC_SUFFIX,STREET_SUFFIX,LRS_CURRENT_SEGMENT_ID,ACCESS_CONTROL,BASE_LT_TYPE,BASE_RT_TYPE,FAP_IND,FED_AID_ROUTE,FUNCTION_CLASS,HPMS_SAMPLE_ID,LANES,LAST_CONSTRUCTION_DATE,LAST_RESURFACING_DATE,MAINTENANCE_AUTHORITY,MEDIAN_TYPE,MEDIAN_WIDTH,NHS,NHS_INTERMODAL,OWNERSHIP,PRIORITY_SYSTEM,SCENIC_BYWAYS,SCENIC_BYWAYS_ROUTE_ID,SHLD_LT_IN_PVD_WIDTH,SHLD_LT_OUT_PVD_WIDTH,SHLD_LT_TOTAL_WIDTH,SHLD_RT_IN_PVD_WIDTH,SHLD_RT_OUT_PVD_WIDTH,SHLD_RT_TOTAL_WIDTH,SHOULDER_TYPE,SURFACE_LT_WIDTH,SURFACE_RT_WIDTH,SURFACE_TYPE_LEFT,SURFACE_TYPE_RIGHT,TRUCK_ROUTE_IND,URBAN_AREA_CODE,LRS_EVENT_SEGMENT_ID,SPEED_LIMIT_NBR,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
5795464,CALLCR00006**C,ALL,CR,00006,0.851,0.942,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721942,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,G,G,N,49852,8af3a8006e03f452016e03fbf36c5fa4,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,193.825517
5792640,CALLCR00006**C,ALL,CR,00006,0.942,1.004,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721943,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf37c5fa5,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,130.649785
5795981,CALLCR00006**C,ALL,CR,00006,1.004,1.097,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721944,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf37c5fa6,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,197.732511
5792243,CALLCR00006**C,ALL,CR,00006,1.097,1.188,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721945,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf37c5fa7,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,194.211844
5796444,CALLCR00006**C,ALL,CR,00006,1.188,1.237,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721946,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf38b5fa8,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,103.042493
5794194,CALLCR00006**C,ALL,CR,00006,1.237,1.26,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721947,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf38b5fa9,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,48.843003
5795005,CALLCR00006**C,ALL,CR,00006,1.26,1.36,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721948,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf38b5faa,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,210.846201
5795627,CALLCR00006**C,ALL,CR,00006,1.36,1.445,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721949,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf39b5fab,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,182.180875
5793614,CALLCR00006**C,ALL,CR,00006,1.445,1.528,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721950,NA,NA,NA,N,NA,5,020000601445,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf39b5fac,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,174.238433
5793805,CALLCR00006**C,ALL,CR,00006,1.528,1.693,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721951,NA,NA,NA,N,NA,5,020000601445,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf3ab5fad,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,350.702985
