OBJECTID,ODOT_DISTRICT,NLFID,COUNTY_CD,COUNTY,ROUTE_TYPE,ROUTE_NBR,ROUTE_SUFFIX,CTL_BEGIN_NBR,CTL_END_NBR,STL_BEGIN_NBR,STL_END_NBR,BACKSTATION_CD,SECTION_LENGTH_NBR,NHS_CD,FUNCTIONAL_CLASS_CD,PRIMARY_SYSTEM_CD,POSTED_SPEED_NBR,FF_SPEED_NBR,TOTAL_LANES_NBR,LANE_WIDTH_NBR,CAPACITY_NBR,TOTAL_VOLUME_NBR,TRUCK_VOLUME_NBR,VMT_NBR,TRUCK_VMT_NBR,VOLUME_PER_LANE_NBR,CONGESTION_INDEX_NBR,VOLUME_CAPACITY_RATIO_NBR,PEAK_HOUR_NBR,VHT_NBR,CONGESTION_DELAY_NBR,PHYSICAL_DELAY_NBR,SPEED_LIMIT_DELAY_NBR,DELAY_RATIO_NBR,FWY_ART_NBR,DIRECTION_1_NBR,DIRECTION_2_NBR,MEDIAN_WIDTH_NBR,DIRECTION_1_HRS_NBR,DIRECTION_2_HRS_NBR,OVERRIDE_1_TXT,OVERRIDE_2_TXT,PKVMT_NBR,EXCEED_VMT_NBR,EXCEED_PKVMT_NBR,CAR_GROWTH_NBR,TRUCK_GROWTH_NBR,LOS_CD,EXD1Y1L_NBR,EXD2Y1L_NBR,EXD1Y1M_NBR,EXD2Y1M_NBR,EXD1Y1U_NBR,EXD2Y1U_NBR,EXD1Y2L_NBR,EXD2Y2L_NBR,EXD1Y2M_NBR,EXD2Y2M_NBR,EXD1Y2U_NBR,EXD2Y2U_NBR,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
1200360,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,6.133,6.657,6.133,6.657,NA,0.524,N,3,P,60,62,4,48,8446,6482,957,3397,501,2099,0.15,0.08,16,54.85,0,-1.83,4.36,0,1,2,2,0,0,0,NA,NA,261,0,0,0.59,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,1081.900327
1200361,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,6.657,7.657,6.657,7.657,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.65,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.034358
1200362,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,7.657,8.657,7.657,8.657,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.65,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.144399
1200363,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,8.657,8.818,8.657,8.818,NA,0.161,N,3,P,60,62,4,48,8446,6482,957,1044,154,2099,0.15,0.08,16,16.85,0,-0.56,1.34,0,1,2,2,0,0,0,NA,NA,81,0,0,0.65,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,332.425224
1200364,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,8.818,9.818,8.818,9.818,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.65,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2065.821884
1200365,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,9.818,10.818,9.818,10.818,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.69,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.708989
1200366,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,10.818,11.818,10.818,11.818,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.69,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.579608
1200367,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,11.818,11.874,11.818,11.874,NA,0.056,N,3,P,60,62,4,48,8446,6482,957,363,54,2099,0.15,0.08,16,5.86,0,-0.2,0.47,0,1,2,2,0,0,0,NA,NA,28,0,0,0.57,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,116.544994
1200368,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,11.874,12.874,11.874,12.874,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.57,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2065.039415
1200369,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,12.874,13.874,12.874,13.874,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.57,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2065.230574
